Index,Cement (kg/m3),SF (kg/m3),BFS (kg/m3),FA (kg/m3),QP (kg/m3),LSP (kg/m3),NS (kg/m3),Fiber (kg/m3),Sand (kg/m3),Gravel (kg/m3),Water (kg/m3),SP (kg/m3),T (oC),RH (%),Age (days),Unnamed: 16,fc (MPa)
135,426.3,0.0,0.0,0.0,175.9,263.7,13.2,0.0,1273.4,0,175.8,43.9,21,100,28,,88.66
136,421.9,0.0,0.0,0.0,175.9,263.7,17.6,0.0,1273.4,0,175.8,43.9,21,100,28,,91.18
137,417.5,0.0,0.0,0.0,175.9,263.7,22.0,0.0,1273.4,0,175.8,43.9,21,100,28,,86.46
138,439.5,0.0,0.0,0.0,175.9,263.7,0.0,195.0,1273.4,0,175.8,43.9,21,100,28,,113.93
139,435.1,0.0,0.0,0.0,175.9,263.7,4.4,195.0,1273.4,0,175.8,43.9,21,100,28,,120.16
140,430.7,0.0,0.0,0.0,175.9,263.7,8.8,195.0,1273.4,0,175.8,43.9,21,100,28,,126.38
141,594.2,0.0,0.0,0.0,0.0,265.3,24.8,0.0,1282.3,0,176.9,44.2,21,100,28,,98.89
142,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,139.44
143,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,141.67
144,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,129.44
145,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,124.44
146,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,120.56
147,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,129.01
148,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,132.96
